회사명	18_fscore	17_fscore
삼진	6	6
SK케미칼	6	6
기신정기	6	6
티피씨글로벌	6	6
THE E&M	6	6
JW홀딩스	6	6
가비아	6	6
기아자동차	6	6
동화기업	6	6
F&F	6	6
엔씨소프트	6	6
신성이엔지	6	6
오이솔루션	6	6
동양고속	6	6
인선이엔티	6	6
사람인에이치알	6	6
LG유플러스	6	6
정원엔시스	6	6
슈피겐코리아	6	6
자화전자	6	6
일성건설	6	6
대성홀딩스	6	6
대명코퍼레이션	6	6
한일홀딩스	6	6
리켐	6	6
코드네이처	6	6
나이스디앤비	6	6
서원	6	6
iMBC	6	6
한진중공업홀딩스	6	6
에버다임	6	6
이원컴포텍	6	6
신세계푸드	6	6
오션브릿지	6	6
삼익악기	6	6
이노션	6	6
탑엔지니어링	6	6
대한해운	6	6
현대비앤지스틸	6	6
에스에프에이	6	6
동국실업	6	6
구영테크	6	6
텔코웨어	6	6
아이에이	6	6
삼성에스디에스	6	6
코리아에프티	6	6
엘아이에스	5	5
SG세계물산	5	5
이리츠코크렙	5	5
원풍	5	5
오스템	5	5
한화에어로스페이스	5	5
LG하우시스	5	5
동일고무벨트	5	5
경인양행	5	5
티비에이치글로벌	5	5
한신기계공업	5	5
우리산업홀딩스	5	5
넥센타이어	5	5
희림	5	5
HDC아이콘트롤스	5	5
에프알텍	5	5
한국전자홀딩스	5	5
동방	5	5
새로닉스	5	5
인포뱅크	5	5
진양홀딩스	5	5
하이골드12호	5	5
실리콘웍스	5	5
한일네트웍스	5	5
컬러레이	5	5
KPX홀딩스	5	5
빅솔론	5	5
엑세스바이오	5	5
광전자	5	5
아시아나항공	5	5
펄어비스	5	5
코오롱글로벌	5	5
YG PLUS	5	5
부산산업	5	5
한국정보공학	5	5
경남제약	5	5
쎄니트	5	5
크린앤사이언스	5	5
모다이노칩	5	5
매직마이크로	5	5
에스에이티	5	5
유비케어	5	5
잇츠한불	5	5
갑을메탈	5	5
상아프론테크	5	5
기산텔레콤	5	5
대덕전자	5	5
보령제약	5	5
SIMPAC	5	5
세동	5	5
유진테크	5	5
엑시콘	5	5
한샘	5	5
새론오토모티브	5	5
엠케이전자	5	5
CJ	5	5
에이아이비트	5	5
네오팜	5	5
큐로홀딩스	5	5
골프존	5	5
이노테라피	5	5
오공	5	5
선창산업	5	5
케이티앤지	5	5
인포바인	5	5
한라홀딩스	5	5
유지인트	5	5
크리스에프앤씨	5	5
파워로직스	5	5
우리로	5	5
서호전기	5	5
LS네트웍스	5	5
