,code,employee,homepage,hq_address,ics,market,name
119,139130,78 (2017/12),http://www.dgbfg.co.kr,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,기타금융업,KOSPI,DGB금융지주
120,005250,191 (2017/12),http://www.greencross.com,경기도 용인시 기흥구 이현로30번길 107 (보정동),서비스업,KOSPI,녹십자홀딩스
121,004370,"4,951 (2017/12)",http://www.nongshim.com,서울특별시 동작구  여의대방로 112,음식료,KOSPI,농심
122,010620,"3,223 (2017/12)",http://www.hmd.co.kr,울산시 동구 방어진순환도로 100,운수장비,KOSPI,현대미포조선
123,006650,784 (2017/12),http://www.kpic.co.kr,서울시 종로구 자하문로 77 유남빌딩,화학,KOSPI,대한유화
124,090435,"6,109 (2017/12)",http://www.amorepacific.com,서울특별시 용산구 한강대로 100 (한강로2가),화학,KOSPI,아모레퍼시픽우
125,010120,"3,329 (2017/12)",http://www.lsis.co.kr,경기도 안양시 동안구 엘에스로 127 LS타워,전기전자,KOSPI,LS산전
126,004000,818 (2017/12),http://www.lottefinechem.com,울산시 남구 여천로 217번길 19(여천동 190),화학,KOSPI,롯데정밀화학
127,009420,313 (2017/12),http://www.hanall.co.kr,대전시 대덕구 상서당1길 43(상서동),의약품,KOSPI,한올바이오파마
128,042670,"2,538 (2017/12)",http://www.doosaninfracore.com,인천시 동구 인중로 489(화수동),기계,KOSPI,두산인프라코어
129,071840,"3,752 (2017/12)",http://www.himart.co.kr/index.jsp,서울시 강남구 삼성로 156 롯데하이마트빌딩,유통업,KOSPI,롯데하이마트
130,267270,"1,340 (2017/12)",http://www.hyundai-ce.com,서울특별시 종로구 율곡로 75,기계,KOSPI,현대건설기계
131,000240,214 (2017/12),http://kr.hankooktireworldwide.com,서울시 강남구 테헤란로 133 한국타이어빌딩,기타금융업,KOSPI,한국타이어월드와이드
132,161890,"1,021 (2017/12)",,세종시 전의면 덕고개길 12-11,화학,KOSPI,한국콜마
133,120110,"3,725 (2017/12)",http://www.kolonindustries.com,서울특별시 강서구 마곡동로 110 코오롱 One&Only 타워,화학,KOSPI,코오롱인더
134,003520,625 (2017/12),http://www.yungjin.co.kr,서울특별시 송파구 올림픽로35다길 13 국민연금 잠실사옥 2~3층,의약품,KOSPI,영진약품
135,012510,"1,202 (2017/12)",http://www.douzone.com,강원도 춘천시 남산면 버들1길 130,서비스업,KOSPI,더존비즈온
136,051915,"16,930 (2017/12)",http://www.lgchem.com,"서울특별시 영등포구 여의대로 128, LG트윈타워빌딩 (여의도동)",화학,KOSPI,LG화학우
137,020150,468 (2017/12),http://www.iljinM.co.kr,전북 익산시 석암로3길 63-25,전기전자,KOSPI,일진머티리얼즈
138,000670,670 (2017/12),http://www.ypzinc.co.kr,서울시 강남구 강남대로 542,철강금속,KOSPI,영풍
139,034020,"7,673 (2017/12)",http://www.doosanheavy.com,경남 창원시 성산구 두산볼보로 22(귀곡동),기계,KOSPI,두산중공업
140,001800,"1,921 (2017/12)",http://www.orionworld.com,서울특별시 용산구 백범로90다길 13 (문배동),기타금융업,KOSPI,오리온홀딩스
141,079160,"1,583 (2017/12)",http://www.cgv.co.kr,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),서비스업,KOSPI,CJ CGV
142,051905,"4,409 (2017/12)",http://www.lgcare.com,서울시 종로구 새문안로 58,화학,KOSPI,LG생활건강우
143,081660,307 (2017/12),http://www.fila.co.kr,서울시 서초구 명달로 6,유통업,KOSPI,휠라코리아
144,114090,"1,815 (2017/12)",http://www.grandkorea.com,서울특별시 강남구 삼성로 610 (삼성동),서비스업,KOSPI,GKL
145,011200,"1,267 (2017/12)",http://www.hmm21.com,서울시 종로구 율곡로 194,운수창고,KOSPI,현대상선
146,005440,"4,533 (2017/12)",http://www.hyundaigreenfood.com,경기도 용인시 수지구 문인로 30 (동천동),유통업,KOSPI,현대그린푸드
147,000080,"3,007 (2017/12)",http://www.hitejinro.com,서울시 강남구 영동대로 714,음식료,KOSPI,하이트진로
148,192820,827 (2017/12),http://www.cosmax.com,경기도 화성시 향남읍 제약공단2길 46,화학,KOSPI,코스맥스
149,233740, (),http://www.samsungfund.com,서울특별시 중구 세종대로 55 삼성생명빌딩 23층 삼성자산운용,미분류,KOSPI,KODEX 코스닥150 레버리지
150,012450,"2,590 (2017/12)",http://www.hanwhatechwin.co.kr,경남 창원시 성산구 창원대로 1204(성주동),운수장비,KOSPI,한화테크윈
151,011210,"3,352 (2017/12)",http://www.hyundai-wia.com,경남 창원시 성산구 정동로 153,운수장비,KOSPI,현대위아
152,064350,"3,559 (2017/12)",http://www.hyundai-rotem.co.kr,경남 창원시 의창구 창원대로 488,운수장비,KOSPI,현대로템
153,011790,"1,247 (2017/12)",http://www.skc.kr,경기도 수원시 장안구 장안로309번길 84 (정자동),화학,KOSPI,SKC
154,003000,615 (2017/12),http://www.bukwang.co.kr,서울시 동작구 대방동1길 47,의약품,KOSPI,부광약품
155,115390,460 (2017/12),http://www.locknlock.com,충청남도 아산시 선장면 삽교천로 104,화학,KOSPI,락앤락
156,003240,"1,370 (2017/12)",http://www.taekwang.co.kr,서울시 중구 동호로 310,화학,KOSPI,태광산업
157,003690,328 (2017/12),http://www.koreanre.co.kr,서울시 종로구 종로5길 68(수송동) 코리안리빌딩,보험업,KOSPI,코리안리
158,001740,"2,321 (2017/12)",http://www.sknetworks.co.kr,경기도 수원시 장안구 경수대로 795 (영화동),유통업,KOSPI,SK네트웍스
159,005690,121 (2017/12),http://www.pharmicell.com,"서울특별시 강남구 언주로 874 (신사동, 쌍봉빌딩 7층)",의약품,KOSPI,파미셀
160,148020, (),http://www.kbstaretf.com,서울 영등포구 여의도동 신한금융투자타워 25층,미분류,KOSPI,KBSTAR 200
161,082640,"1,010 (2017/12)",http://www.myangel.co.kr,서울특별시 종로구 종로 33 (청진동),보험업,KOSPI,동양생명
162,039130,"2,609 (2017/12)",http://www.hanatour.com,서울특별시 종로구 인사동5길 41 (공평동),서비스업,KOSPI,하나투어
163,226320,284 (2017/12),http://www.itsskin.com,서울특별시 강남구 언주로 634,유통업,KOSPI,잇츠한불
164,185750,"1,904 (2017/12)",http://www.ckdpharm.com,서울 서대문구 충정로 8 종근당빌딩,의약품,KOSPI,종근당
165,180640,29 (2017/12),http://www.hanjinkal.co.kr,서울특별시 중구 소공로 88 (소공동),기타금융업,KOSPI,한진칼
166,181710,723 (2017/12),http://www.nhnent.com,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,서비스업,KOSPI,NHN엔터테인먼트
167,214320,664 (2017/12),http://www.innocean.com,서울특별시 강남구 강남대로 308 (역삼동 837-36),서비스업,KOSPI,이노션
168,005300,"5,972 (2017/12)",http://company.lottechilsung.co.kr,서울특별시 서초구 서초대로70길 15 (서초동),음식료,KOSPI,롯데칠성
169,003090,296 (2017/12),http://www.daewoongholdings.com,경기도 성남시 중원구 갈마치로 244 (상대원동),기타금융업,KOSPI,대웅
170,027410,"2,867 (2017/12)",http://www.bgfretail.com,서울특별시 강남구 테헤란로 405,유통업,KOSPI,BGF
171,057050,559 (2017/12),http://www.hyundaihmall.com,서울시 강동구 올림픽로 70길 34 (천호동),유통업,KOSPI,현대홈쇼핑
172,285130, (2017/12),http://www.skchemicals.com,경기도 성남시 분당구 판교로 310,화학,KOSPI,SK케미칼
173,089590,"2,238 (2017/12)",http://www.jejuair.net,"제주특별자치도 제주시 신대로 64 연동, 건설공제회관3층",운수창고,KOSPI,제주항공
174,102780, (),,,미분류,KOSPI,KODEX 삼성그룹
175,002350,"4,188 (2017/12)",http://www.nexentire.com,경남 양산시 충렬로 355(유산동),화학,KOSPI,넥센타이어
176,111770,452 (2017/12),http://www.youngone.co.kr,서울시 중구 만리재로 159,유통업,KOSPI,영원무역
177,229200, (),http://www.samsungfund.com,서울특별시 중구 세종대로 55 삼성생명빌딩 23층 삼성자산운용,미분류,KOSPI,KODEX 코스닥 150
178,153130, (),http://www.kodex.com,서울 중구 태평로2가 삼성생명빌딩 삼성자산운용,미분류,KOSPI,KODEX 단기채권
179,014820,759 (2017/12),http://www.dongwonsys.co.kr,경기도 성남시 중원구 둔촌대로541번길 46,화학,KOSPI,동원시스템즈
180,018250,718 (2017/12),http://www.aekyung.co.kr,서울특별시 구로구 가마산로 242 (구로동),화학,KOSPI,애경산업
181,006040,787 (2017/12),http://www.dwml.co.kr,서울시 서초구 마방로 68,미분류,KOSPI,동원산업
182,001440,855 (2017/12),http://www.taihan.com,경기도 안양시 동안구 관양동 1746-2 대한스마트타워,전기전자,KOSPI,대한전선
183,005610,"1,282 (2017/12)",http://www.spcsamlip.co.kr,경기도 시흥시 공단1대로 101 (정왕동),음식료,KOSPI,SPC삼립
184,103140,"3,351 (2017/12)",http://www.poongsan.co.kr,경기도 평택시 포승읍 평택항로156번길 134,철강금속,KOSPI,풍산
185,052690,"2,245 (2017/12)",http://www.kepco-enc.com,경상북도 김천시 혁신로 269 율곡동,서비스업,KOSPI,한전기술
186,001120,410 (2017/12),http://www.lgicorp.com,"서울특별시 영등포구 여의대로 128, LG트윈타워 동관 (여의도동)",유통업,KOSPI,LG상사
187,020560,"8,889 (2017/12)",http://www.flyasiana.com,"서울특별시 강서구 오정로 443-83, 아시아나타운 (오쇠동)",운수창고,KOSPI,아시아나항공
188,069260,260 (2017/12),http://www.huchems.com,서울시 중구 퇴계로 173,화학,KOSPI,휴켐스
189,282000, (),,서울특별시 영등포구 여의대로 70 신한금융투자타워 25층,미분류,KOSPI,KBSTAR 국고채3년선물인버스
190,170900,"1,471 (2017/12)",http://www.donga-st.com,서울 동대문구 용두동 138 ~255 천호대로 64,의약품,KOSPI,동아에스티
191,023590,474 (2017/12),http://www.daou.co.kr,경기도 용인시 수지구 디지털벨리로 81,서비스업,KOSPI,다우기술
192,079550,"3,220 (2017/12)",http://www.lignex1.com,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),기계,KOSPI,LIG넥스원
193,006840,16 (2017/12),http://www.aekyunggroup.co.kr,서울시 구로구 구로중앙로 152(구로동),기타금융업,KOSPI,AK홀딩스
194,073240,"5,040 (2017/12)",http://www.kumhotire.co.kr,광주광역시 광산구 어등대로 658 (소촌동),화학,KOSPI,금호타이어
195,006490,52 (2017/12),http://www.inscobee.co.kr,"서울특별시 금천구 디지털로9길 47, 한신IT타워2차 306-2호 (가산동)",통신업,KOSPI,인스코비
196,175330,90 (2017/12),http://www.jbfg.com,전북 전주시 덕진구 백제대로 566,기타금융업,KOSPI,JB금융지주
197,272450,"1,484 (2017/12)",http://www.jinair.com,서울특별시 강서구 공항대로 453,운수창고,KOSPI,진에어
198,152100, (),,서울 영등포구 여의도동 63대한생명빌딩 51층,미분류,KOSPI,ARIRANG 200
199,071320,"1,801 (2017/12)",http://www.kdhc.co.kr,경기도 성남시 분당구 분당로 368,전기가스,KOSPI,지역난방공사
200,033180,155 (2017/12),http://www.feelux.com,경기도 양주시 광적면 광적로 235-48,전기전자,KOSPI,필룩스
201,001230,"2,546 (2017/12)",http://www.dongkuk.co.kr,서울시 중구 을지로 5길 19,철강금속,KOSPI,동국제강
202,093370,306 (2017/12),http://www.foosungchem.com,경기도 화성시 팔탄면 현대기아로 72-37,화학,KOSPI,후성
203,001060,"1,166 (2017/12)",http://www.jw-pharma.co.kr,서울시 서초구 남부순환로 2477 (서초동),의약품,KOSPI,JW중외제약
204,031430,"1,179 (2017/12)",http://www.sikorea.co.kr,서울특별시 강남구 도산대로 449,유통업,KOSPI,신세계인터내셔날
