code,market_type,date,present_value,quant,buy_total,sell_total,market_sum,per,pbr
157450,0,2018-04-30,100535,534,33483,19048,10009,,
229200,0,2018-04-30,14920,2495105,25643,14253,9967,,
073240,0,2018-04-30,6220,2496047,99941,264209,9827,-7.87,1.03
032350,0,2018-04-30,21400,275135,21191,10952,9715,289.19,5.69
085620,0,2018-04-30,5470,229255,27157,59647,9683,4.11,0.44
001430,0,2018-04-30,27000,64614,4430,7105,9683,7.64,0.52
006840,0,2018-04-30,73000,23070,6265,3650,9671,9.7,1.34
024720,0,2018-04-30,57300,121998,2942,4948,9597,34.23,3.25
267260,0,2018-04-30,94000,374964,935,3328,9593,41.16,0.92
031430,0,2018-04-30,134000,27512,4127,4857,9568,39.75,1.94
175330,0,2018-04-30,6150,168478,30539,9945,9560,5.16,0.39
284740,0,2018-04-30,213000,6327,162,191,9558,35.98,2.72
272450,0,2018-04-30,31850,107080,12717,38299,9555,11.71,4.12
000070,0,2018-04-30,111000,52827,2663,7679,9506,26.13,0.63
071320,0,2018-04-30,80500,6754,556,1520,9321,13.34,0.51
170900,0,2018-04-30,110000,47657,12392,7629,9288,-172.14,1.6
152100,0,2018-04-30,32345,29485,52242,51972,9267,,
001680,0,2018-04-30,26600,128441,12960,47761,9216,18.17,1.1
049770,0,2018-04-30,238500,2061,560,251,9204,17.91,1.55
145990,0,2018-04-30,89100,15584,1554,1271,9168,26.76,0.82
003470,0,2018-04-30,4570,894010,51703,40108,9122,13.72,0.85
025860,0,2018-04-30,18250,2892157,102922,33236,9066,33.73,2.08
105630,0,2018-04-30,22600,103818,11235,30526,9040,20.91,1.86
009410,0,2018-04-30,11700,842931,30348,121944,8939,10.24,0.87
000370,0,2018-04-30,7510,541766,113978,49392,8767,4.84,0.74
093370,0,2018-04-30,9420,674213,59405,30332,8724,29.53,4.93
145720,0,2018-04-30,78700,51368,1630,4947,8711,28.98,4.19
079550,0,2018-04-30,39550,324880,16568,5425,8701,-100.89,1.44
018670,0,2018-04-30,93900,13139,2481,1369,8502,8.33,0.55
002270,0,2018-04-30,745000,2096,243,214,8432,10.32,1.02
093050,0,2018-04-30,28200,61500,8427,11573,8246,11.19,0.75
001060,0,2018-04-30,41600,160604,6978,7803,8199,-1223.53,3.31
020000,0,2018-04-30,33200,44659,5582,6334,8177,15.18,0.79
006120,0,2018-04-30,42650,77473,7005,10304,8120,1.48,0.48
280360,0,2018-04-30,190000,4150,292,719,7997,87.56,0.97
014680,0,2018-04-30,70700,75586,6219,2752,7986,14.72,2.44
069660,0,2018-04-30,32605,46445,188986,105850,7972,,
007570,0,2018-04-30,41000,98800,8583,8353,7809,-854.17,3.92
105190,0,2018-04-30,32545,365569,20163,130748,7795,,
034830,0,2018-04-30,3080,877297,98999,209283,7777,4.65,1.06
000640,0,2018-04-30,126000,10590,5348,2324,7734,23.73,0.85
033180,0,2018-04-30,17800,5900040,104756,65610,7670,124.48,5.99
009450,0,2018-04-30,59700,53428,2817,5590,7605,28.78,2.94
034310,0,2018-04-30,19900,96834,11454,5746,7539,15.32,1.26
005850,0,2018-04-30,22200,56748,6043,9137,7518,7.9,0.78
108670,0,2018-04-30,81400,114005,3826,10443,7300,12.0,0.82
