,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
2666,068790,"기계,장비",디스플레이장비및부품,2013,2748.0,438.6,327.4,1163.0,1266.5,1042.9,19887.0,249.5,-18.7,-9.5,1092.6,241.8,850.8,1092.6
2667,068790,"기계,장비",디스플레이장비및부품,2014,2198.2,257.1,222.8,999.1,1248.1,693.1,19887.0,102.8,-80.5,-119.5,1044.4,233.9,810.4,1044.4
2668,068790,"기계,장비",디스플레이장비및부품,2015,2320.3,86.6,14.9,915.9,1321.3,912.4,22322.0,38.7,161.7,-15.0,1809.4,458.0,1351.4,1809.4
2669,068790,"기계,장비",디스플레이장비및부품,2016,2683.3,175.5,163.3,1132.0,1190.5,1317.4,22572.0,41.2,334.2,31.8,2488.5,671.1,1817.3,2488.5
2670,035610,전문기술,건강관리기술,2012,1963.9,75.7,37.9,971.5,441.5,1446.7,27346.0,127.6,-47.4,-18.9,1173.4,592.1,581.3,1173.4
2671,035610,전문기술,건강관리기술,2013,1833.9,61.4,25.0,888.3,251.7,1520.9,27346.0,142.6,2.5,90.1,938.4,489.8,448.5,938.4
2672,035610,전문기술,건강관리기술,2014,1803.4,46.2,19.5,809.9,203.1,1554.1,27346.0,131.0,-19.4,82.4,716.4,400.4,316.0,716.4
2673,035610,전문기술,건강관리기술,2015,1875.4,31.2,0.3,816.2,203.3,1640.9,27346.0,91.7,30.2,4.2,705.0,432.5,272.5,705.0
2674,035610,전문기술,건강관리기술,2016,1913.4,34.6,0.0,861.4,202.3,1676.5,27346.0,76.2,13.2,7.0,790.0,464.0,326.0,790.0
2675,900270,미분류,레저용장비와제품,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2676,900270,미분류,레저용장비와제품,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2677,900270,미분류,레저용장비와제품,2014,1415.1,29.1,29.1,1031.1,585.1,800.9,60000.0,1.4,363.3,5.9,1883.1,533.2,1349.9,1883.1
2678,900270,미분류,레저용장비와제품,2015,1720.7,29.2,26.8,1214.9,651.0,1040.6,60000.0,1.3,394.6,20.9,2023.7,569.3,1454.4,2023.7
2679,900270,미분류,레저용장비와제품,2016,2693.4,42.1,39.8,2219.8,643.4,2008.0,80000.0,1.1,384.7,39.1,1992.4,560.7,1431.7,1992.4
2680,194480,디지털컨텐츠,게임소프트웨어와서비스,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2681,194480,디지털컨텐츠,게임소프트웨어와서비스,2013,303.3,0.5,0.0,282.9,102.3,200.5,810.0,0.7,240.9,-0.9,613.0,612.8,0.3,613.0
2682,194480,디지털컨텐츠,게임소프트웨어와서비스,2014,2035.4,0.6,0.0,1985.8,81.4,1953.4,10800.0,5.6,330.3,-0.8,695.0,695.0,0.0,695.0
2683,194480,디지털컨텐츠,게임소프트웨어와서비스,2015,1578.7,7.9,0.0,1349.0,15.0,1555.8,10936.0,20.8,-41.3,-1.8,195.5,195.5,0.0,195.5
2684,194480,디지털컨텐츠,게임소프트웨어와서비스,2016,1497.2,5.9,0.0,1291.9,16.9,1474.4,11089.0,22.2,-121.2,-10.3,152.2,152.2,0.0,152.2
2685,054620,금융,디스플레이장비및부품,2012,2055.1,170.3,134.9,1280.0,1009.9,874.9,21620.0,59.7,130.5,47.2,2175.0,377.6,1797.3,2175.0
2686,054620,금융,디스플레이장비및부품,2013,1821.9,235.1,200.0,891.7,569.4,1017.4,23212.0,104.1,160.3,15.5,2540.9,380.4,2160.4,2540.9
2687,054620,금융,디스플레이장비및부품,2014,2156.1,556.1,200.0,1100.3,601.8,998.2,23410.0,148.8,36.7,-11.5,1753.9,262.6,1491.3,1753.9
2688,054620,금융,디스플레이장비및부품,2015,2989.7,315.4,243.1,1520.0,1578.0,1096.3,23410.0,245.1,121.3,9.4,2931.8,398.6,2533.2,2931.8
2689,054620,금융,디스플레이장비및부품,2016,5662.2,637.7,439.3,3552.8,2955.0,2069.5,28610.0,263.2,322.9,38.8,5549.9,765.8,4784.0,5549.9
2690,215200,교육,교육서비스,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2691,215200,교육,교육서비스,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2692,215200,교육,교육서비스,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2693,215200,교육,교육서비스,2015,2286.9,79.5,0.0,265.5,489.2,1718.2,2324.0,216.2,84.4,9.7,1252.1,721.6,530.6,1252.1
2694,215200,교육,교육서비스,2016,2318.2,64.6,0.0,259.2,536.4,1717.3,2324.0,163.6,34.5,-3.1,1745.2,983.4,761.8,1745.2
