,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
138,002380,2015,1,1,0,1,1,1,0,1,0,6
139,002380,2016,1,1,1,1,0,1,1,1,1,8
140,010060,2012,0,0,0,0,0,0,1,0,0,1
141,010060,2013,0,1,0,1,0,0,1,0,0,3
142,010060,2014,0,1,1,1,0,0,1,0,0,4
143,010060,2015,0,1,0,1,1,0,1,0,1,5
144,010060,2016,1,1,1,1,0,0,1,1,1,7
145,241560,2012,0,0,0,0,0,0,1,0,0,1
146,241560,2013,0,0,0,0,0,0,1,0,0,1
147,241560,2014,1,1,0,0,0,1,0,0,0,3
148,241560,2015,1,1,0,1,1,1,1,1,0,7
149,241560,2016,1,1,1,1,1,1,0,1,0,7
150,010140,2012,0,0,0,0,0,0,1,0,0,1
151,010140,2013,1,1,0,1,0,1,1,0,0,5
152,010140,2014,1,1,0,1,0,1,1,0,0,5
153,010140,2015,0,1,0,1,0,1,1,0,0,4
154,010140,2016,0,1,1,1,1,1,0,1,1,7
155,000880,2012,0,0,0,0,0,0,1,0,0,1
156,000880,2013,1,1,0,1,0,1,1,0,0,5
157,000880,2014,1,1,0,1,0,1,1,0,0,5
158,000880,2015,1,1,1,1,0,1,1,1,1,8
159,000880,2016,1,1,1,1,1,1,0,1,0,7
160,012630,2012,0,0,0,0,0,0,1,0,0,1
161,012630,2013,0,1,0,1,0,1,1,0,0,4
162,012630,2014,1,1,1,1,0,1,1,1,1,8
163,012630,2015,1,1,1,1,0,1,1,1,1,8
164,012630,2016,1,1,1,1,1,1,1,1,1,9
165,004170,2012,0,0,0,0,0,0,1,0,0,1
166,004170,2013,1,1,0,1,0,1,1,0,0,5
167,004170,2014,1,1,0,1,0,1,1,0,0,5
168,004170,2015,1,1,0,1,1,1,1,0,0,6
169,004170,2016,1,1,0,1,0,1,1,1,1,7
170,000120,2012,0,0,0,0,0,0,1,0,0,1
171,000120,2013,1,1,0,1,0,1,1,0,0,5
172,000120,2014,1,1,1,1,0,1,1,1,0,7
173,000120,2015,1,1,1,1,1,1,1,1,1,9
174,000120,2016,1,1,1,1,0,1,1,1,1,8
175,028670,2012,0,0,0,0,0,0,1,0,0,1
176,028670,2013,0,1,0,1,0,1,1,0,0,4
177,028670,2014,1,1,1,1,0,1,0,1,0,6
178,028670,2015,1,1,1,1,1,1,0,0,1,7
179,028670,2016,1,1,0,1,1,1,0,0,1,6
180,047050,2012,0,0,0,0,0,0,1,0,0,1
181,047050,2013,1,1,0,1,0,1,1,0,0,5
182,047050,2014,1,1,1,1,0,1,1,1,1,8
183,047050,2015,1,1,0,1,0,1,1,1,0,6
184,047050,2016,1,1,1,1,1,1,1,0,1,8
185,007070,2012,0,0,0,0,0,0,1,0,0,1
186,007070,2013,1,1,0,1,0,1,1,0,0,5
