,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
824,000020,2016,1,1,1,1,1,1,1,1,1,9
829,007210,2016,1,1,0,1,1,1,1,0,0,6
834,002030,2016,1,1,1,1,1,1,1,1,1,9
839,200880,2016,1,1,0,1,1,1,1,0,0,6
844,007810,2016,1,1,0,1,1,1,1,0,0,6
849,015860,2016,1,1,0,1,0,1,1,0,1,6
854,001130,2016,1,1,0,1,1,1,1,1,0,7
859,092230,2016,1,1,0,1,0,1,1,1,0,6
864,029460,2016,1,1,0,1,0,1,1,0,0,5
869,027390,2016,0,1,0,1,1,1,1,0,1,6
874,011760,2016,1,1,1,1,1,1,1,1,1,9
879,003570,2016,0,1,0,1,1,1,1,0,0,5
884,005680,2016,1,1,0,1,1,1,1,0,0,6
889,068400,2016,1,1,0,1,1,1,1,1,0,7
894,004960,2016,1,1,1,1,1,1,0,0,1,7
899,003200,2016,1,1,1,1,1,1,1,0,0,7
904,015360,2016,1,1,1,1,0,1,1,1,0,7
909,003070,2016,1,1,1,1,1,1,0,1,1,8
914,001940,2016,1,1,0,1,0,1,1,1,0,6
919,004700,2016,1,1,1,1,0,1,1,1,1,8
924,004360,2016,1,1,0,1,1,1,1,0,0,6
929,900140,2016,1,1,0,1,1,1,1,0,0,6
934,002450,2016,1,1,0,1,1,1,1,1,1,8
939,095720,2016,1,1,1,1,0,1,1,1,0,7
944,004970,2016,1,1,1,1,1,1,1,1,1,9
949,089470,2016,1,1,1,1,1,1,1,1,0,8
954,143210,2016,1,1,1,1,1,1,0,1,0,7
959,000680,2016,0,1,1,1,1,1,1,1,0,7
964,084010,2016,1,1,1,1,1,1,1,0,1,8
969,011280,2016,1,1,1,1,0,1,1,0,0,6
974,036530,2016,1,1,0,1,1,1,0,0,0,5
979,005090,2016,1,1,0,1,1,1,1,0,0,6
984,012610,2016,1,1,1,1,1,1,1,1,1,9
989,000140,2016,1,1,0,1,1,1,1,1,0,7
994,005740,2016,1,1,0,1,1,1,0,0,0,5
999,000860,2016,1,1,0,1,1,1,1,1,0,7
1004,005950,2016,1,1,1,1,1,1,1,1,1,9
1009,000490,2016,0,1,0,1,1,1,1,0,1,6
1014,001880,2016,1,1,0,1,0,1,1,1,0,6
1019,004150,2016,1,1,1,1,1,1,0,1,1,8
1024,000970,2016,1,1,1,1,1,1,1,1,1,9
1029,044450,2016,0,0,0,0,0,0,1,0,0,1
1034,005960,2016,1,1,1,1,0,1,0,1,1,7
1039,001790,2016,1,1,1,1,0,1,1,1,1,8
1044,004560,2016,1,1,1,1,0,1,1,1,1,8
1049,144620,2016,0,1,1,1,0,1,1,1,0,6
1054,000320,2016,1,1,0,1,1,1,1,1,0,7
1059,000390,2016,1,1,0,1,0,1,0,0,0,4
1064,035510,2016,1,1,0,1,1,1,1,0,1,7
1069,000180,2016,1,1,0,1,0,1,0,0,0,4
1074,091090,2016,0,1,0,1,0,1,0,0,0,3
1079,004250,2016,1,1,0,1,1,1,1,0,0,6
